分数,位次区间,同分人数,建议位次
126,112325-112325,-,112325
125,112326-112327,2,112327
124,112328-112328,1,112328
123,112329-112330,2,112330
122,112331-112331,1,112331
121,112332-112333,2,112333
120,112333-112333,-,112333
119,112333-112333,-,112333
118,112334-112334,1,112334
117,112334-112334,-,112334
116,112335-112337,3,112337
115,112337-112337,-,112337
114,112337-112337,-,112337
113,112337-112337,-,112337
112,112337-112337,-,112337
111,112337-112337,-,112337
110,112337-112337,-,112337
109,112337-112337,-,112337
108,112338-112340,3,112340
107,112341-112341,1,112341
106,112342-112342,1,112342
105,112342-112342,-,112342
104,112343-112343,1,112343
103,112343-112343,-,112343
102,112343-112343,-,112343
101,112344-112344,1,112344
100,112345-112345,1,112345
99,112346-112346,1,112346
98,112346-112346,-,112346
97,112346-112346,-,112346
96,112347-112348,2,112348
95,112349-112349,1,112349
94,112349-112349,-,112349
93,112349-112349,-,112349
92,112350-112350,1,112350
91,112351-112351,1,112351
90,112352-112352,1,112352
89,112352-112352,-,112352
88,112352-112352,-,112352
87,112352-112352,-,112352
86,112352-112352,-,112352
85,112352-112352,-,112352
84,112352-112352,-,112352
83,112352-112352,-,112352
82,112352-112352,-,112352
81,112352-112352,-,112352
80,112353-112354,2,112354
79,112354-112354,-,112354
78,112354-112354,-,112354
77,112355-112355,1,112355
76,112355-112355,-,112355
75,112355-112355,-,112355
74,112355-112355,-,112355
73,112355-112355,-,112355
72,112355-112355,-,112355
71,112355-112355,-,112355
70,112355-112355,-,112355
69,112355-112355,-,112355
68,112355-112355,-,112355
67,112355-112355,-,112355
66,112355-112355,-,112355
65,112355-112355,-,112355
64,112355-112355,-,112355
63,112355-112355,-,112355
62,112355-112355,-,112355
61,112355-112355,-,112355
60,112355-112355,-,112355
59,112356-112356,1,112356
58,112356-112356,-,112356
57,112356-112356,-,112356
56,112356-112356,-,112356
55,112356-112356,-,112356
54,112356-112356,-,112356
53,112356-112356,-,112356
52,112356-112356,-,112356
51,112356-112356,-,112356
50,112357-112357,1,112357
49,112357-112357,-,112357
48,112357-112357,-,112357
47,112357-112357,-,112357
46,112358-112358,1,112358
45,112358-112358,-,112358
44,112358-112358,-,112358
43,112358-112358,-,112358
42,112358-112358,-,112358
41,112358-112358,-,112358
40,112358-112358,-,112358
39,112358-112358,-,112358
38,112358-112358,-,112358
37,112358-112358,-,112358
36,112358-112358,-,112358
35,112358-112358,-,112358
34,112359-112359,1,112359
33,112359-112359,-,112359
32,112359-112359,-,112359
31,112359-112359,-,112359
30,112359-112359,-,112359
29,112359-112359,-,112359
28,112360-112360,1,112360
27,112360-112360,-,112360
26,112360-112360,-,112360
25,112360-112360,-,112360
24,112360-112360,-,112360
23,112360-112360,-,112360
22,112360-112360,-,112360
21,112360-112360,-,112360
20,112361-112361,1,112361
19,112361-112361,-,112361
18,112361-112361,-,112361
17,112361-112361,-,112361
16,112361-112361,-,112361
15,112362-112362,1,112362
14,112363-112363,1,112363
13,112363-112363,-,112363
12,112363-112363,-,112363
11,112363-112363,-,112363
10,112363-112363,-,112363
9,112364-112364,1,112364
8,112364-112364,-,112364
7,112364-112364,-,112364
6,112364-112364,-,112364
5,112364-112364,-,112364
4,112364-112364,-,112364
3,112364-112364,-,112364
2,112364-112364,-,112364
1,112364-112364,-,112364
-,112365-112852,488,112852
